Type,Name,Difference,Url1,Url2,Value1,Value2
"View","[calendar] Quick Find Calendar","Different Layout XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=a3cc2d8e-9768-dd11-b1b0-00155d869f00","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=a3cc2d8e-9768-dd11-b1b0-00155d869f00","=""150""/><cell name=""description"" width=""","=""150""/></row></grid>"
"View","[queue] Business Queues","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=f374f814-00a2-44ed-8b88-13f34e202e79","","Business Queues",""
"View","[queue] Local User Queues","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=6692d3a5-268d-4392-9752-2acf707062bb","","Local User Queues",""
"View","[queue] Private Queues Lookup View","Only In VM TEST","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=75566a9b-cce8-4ed8-acbd-83ee42dd6dee","","Private Queues Lookup View",""
"View","[queue] All Queues","Different Fetch XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=00000000-0000-0000-00aa-000010001300","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=00000000-0000-0000-00aa-000010001300","te name=""ownerid"" /><attribute name=""sta","te name=""queueid"" /><order attribute=""na"
"View","[queue] All Queues","Different Layout XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=00000000-0000-0000-00aa-000010001300","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=00000000-0000-0000-00aa-000010001300","=""200""/><cell name=""ownerid"" width=""200""","=""200""/></row></grid>"
"View","[queue] My Active Queues","Different Fetch XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=3a8191c3-d94e-4fd4-af8b-5bf29568a563","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=3a8191c3-d94e-4fd4-af8b-5bf29568a563","ueid"" /><attribute name=""numberofitems"" ","ueid"" /><order attribute=""name"" descendi"
"View","[queue] My Active Queues","Different Layout XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=3a8191c3-d94e-4fd4-af8b-5bf29568a563","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=3a8191c3-d94e-4fd4-af8b-5bf29568a563","=""200""/><cell name=""numberofitems"" width","=""200""/></row></grid>"
"View","[queue] Active Queues","Different Fetch XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=240b4abc-99b6-499c-87e2-5c70829ff273","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=240b4abc-99b6-499c-87e2-5c70829ff273","te name=""ownerid"" /><attribute name=""num","te name=""queueid"" /><order attribute=""na"
"View","[queue] Active Queues","Different Layout XML","http://qa2012/TEST/tools/vieweditor/viewManager.aspx?id=240b4abc-99b6-499c-87e2-5c70829ff273","http://qa2012/WorkflowScheduler/tools/vieweditor/viewManager.aspx?id=240b4abc-99b6-499c-87e2-5c70829ff273","=""200""/><cell name=""ownerid"" width=""200""","=""200""/></row></grid>"
